Unnamed: 0,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,major_axis,minor_axis,convex_area,convex_ratio,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy,classlabel
12651,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,8.6949462890625,18.609146118164062,13.134063720703123,18.010046535692744,34.430359648049425,25.921356432517257,85.65011278714915,0.9518234806911862,0.7734766233642306,3.866106062959413,Tomato___Tomato_Yellow_Leaf_Curl_Virus
12652,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,12.631240844726562,27.442642211914062,20.827926635742188,24.00652199104028,45.19362342755757,36.817776733583365,204.71747852388492,0.9361108126080692,0.7084671106987699,4.953735492483402,Tomato___Tomato_Yellow_Leaf_Curl_Virus
12653,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,18.587554931640625,44.78851318359375,32.86572265625,26.72425633416979,55.44194868473917,42.92863297004677,271.2399832696558,0.9415131861840612,0.5829900430455646,6.81945366045465,Tomato___Tomato_Yellow_Leaf_Curl_Virus
12654,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,19.475372314453125,42.38124084472656,26.6883544921875,25.89275491805837,48.23387575435418,33.3042474259472,207.1525976487408,0.938040536888166,0.554331687209065,7.125383772097214,Tomato___Tomato_Yellow_Leaf_Curl_Virus
12655,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,10.523910522460938,52.7955322265625,39.89811706542969,20.141441133721436,69.06677510495459,55.2029523429888,88.3959984140715,0.9871133259114638,0.6709892497485478,5.744967384997196,Tomato___Tomato_Yellow_Leaf_Curl_Virus
12656,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,27.098861694335938,68.93026733398438,55.94129943847656,43.75991874085478,85.30873615582244,72.90030050950348,180.531005202326,0.9844637528804744,0.6243018447431287,6.573135661164176,Tomato___Tomato_Yellow_Leaf_Curl_Virus
12657,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,15.378326416015623,27.89570617675781,21.71821594238281,30.910036977794896,49.52291034011702,40.0268939766956,263.34557568002674,0.9333554843908493,0.7249771969582148,4.741551818070183,Tomato___Tomato_Yellow_Leaf_Curl_Virus
12658,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,12.02484130859375,25.608917236328125,20.40707397460937,25.000385604432683,44.68083916786495,37.372322130602114,213.13161163975383,0.9334650001123408,0.727963912142239,4.65750254649501,Tomato___Tomato_Yellow_Leaf_Curl_Virus
12659,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,14.269119262695312,29.62269592285156,25.17329406738281,30.632889345625127,53.25236447268063,47.14952083263694,469.81275164600135,0.9005103413596818,0.7237748760123047,4.820679326835551,Tomato___Tomato_Yellow_Leaf_Curl_Virus
12660,65025.0,1020.0,256,256,1.0,0.9922027587890624,0.7853981633974483,256,256,65025.0,1.0,15.371047973632812,43.43513488769531,36.10072326660156,28.789145773079927,71.11541739899732,60.79305347685199,85.25640393718761,0.9892015236288798,0.762735633834738,4.238422957055799,Tomato___Tomato_Yellow_Leaf_Curl_Virus
